Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Pos_06a,20190805_Blank_Pos_06a,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
4.00_729.2239m/z,,729.2238991,1,4.000816667,0.21445,0,100 - 65.7 - 56.1 - 29.7,7078.844629,---,7078.844629,7078.844629,,,,,,,,,,
4.02_688.1970m/z,,688.1969678,1,4.017283333,0.3133,0,100 - 64.3 - 55.6 - 22.5 - 9.65,14682.44102,---,14682.44102,14682.44102,,,,,,,,,,
4.03_503.1076m/z,,503.1075721,1,4.03375,0.2474,0,100 - 48.1 - 55.3,3314.785316,---,3314.785316,3314.785316,,,,,,,,,,
4.03_521.1183m/z,,521.1183366,1,4.03375,0.329766667,0,100 - 49.4 - 35.2 - 13.4 - 5.62 - 0.858,49575.24457,---,49575.24457,49575.24457,,,,,,,,,,
4.15_261.1457m/z,,261.1457196,1,4.149383333,0.115316667,0,100 - 14.7,1641.004526,---,1641.004526,1641.004526,,,,,,,,,,
4.15_315.0936m/z,,315.0935616,1,4.149383333,0.115333333,0,100 - 19.4,807.5128739,---,807.5128739,807.5128739,,,,,,,,,,
4.15_684.1799n,684.1798868,702.2137123,1,4.149383333,0.313633333,0,100 - 63.7 - 49.6 - 21.6 - 9.14,111902.5747,---,111902.5747,111902.5747,,,"M+H-H2O, M+NH4, M+Na",,,,,,,
4.15_743.2402m/z,,743.240206,1,4.149383333,0.263883333,0,100 - 67.9 - 55.4 - 28.6 - 14.4 - 7.49 - 2.64,61500.70048,---,61500.70048,61500.70048,,,,,,,,,,
4.17_429.0889m/z,,429.0888959,1,4.16585,0.164733333,0,100 - 50.3,2139.654219,---,2139.654219,2139.654219,,,,,,,,,,
4.17_445.1203m/z,,445.1202594,1,4.16585,0.214466667,0,100 - 41.1 - 29.2 - 5.52,6626.723791,---,6626.723791,6626.723791,,,,,,,,,,
4.22_584.1320m/z,,584.1320377,1,4.2153,0.1812,0,100 - 56.1 - 44.3,5130.667758,---,5130.667758,5130.667758,,,,,,,,,,
4.25_344.3526m/z,,344.3526136,1,4.248233333,0.626566667,0,100 - 20.8,8445.763179,---,8445.763179,8445.763179,,,,,,,,,,
4.31_167.0343m/z,,167.0343427,1,4.314116667,0.412466667,0,100 - 9.61,9925.487803,---,9925.487803,9925.487803,,,,,,,,,,
4.40_429.0885m/z,,429.0885325,1,4.3968,0.148233333,0,100 - 34.5,1909.315277,---,1909.315277,1909.315277,,,,,,,,,,
4.40_580.1130n,580.1129672,598.1477437,1,4.3968,0.3136,0,100 - 55.6 - 43.3 - 16.4 - 6.3,53384.26518,---,53384.26518,53384.26518,,,"M+H, M+NH4",,,,,,,
4.41_538.1811m/z,,538.1811078,1,4.413266667,0.181183333,0,100 - 53.1 - 31.4,4164.42287,---,4164.42287,4164.42287,,,,,,,,,,
4.46_402.3777m/z,,402.3777277,1,4.462683333,0.841333333,0,100 - 33.2,10071.57327,---,10071.57327,10071.57327,,,,,,,,,,
4.55_762.2139m/z,,762.2139454,1,4.545033333,0.3462,0,100 - 70.8 - 54.5 - 26.7 - 12.1,21177.96675,---,21177.96675,21177.96675,,,,,,,,,,
4.55_803.2426m/z,,803.242565,1,4.545033333,0.21445,0,100 - 77.7 - 67.3 - 37.5 - 19.7,15303.69888,---,15303.69888,15303.69888,,,,,,,,,,
4.56_281.0517m/z,,281.0516961,1,4.5615,0.21445,0,100 - 25 - 15.2,5199.318887,---,5199.318887,5199.318887,,,,,,,,,,
4.56_312.3265m/z,,312.3265242,1,4.5615,0.082683333,0,100 - 15.5,824.6740974,---,824.6740974,824.6740974,,,,,,,,,,
4.56_332.0969n,332.0969209,297.083068,1,4.5615,0.39595,0,100 - 27.6 - 36.2,19551.27639,---,19551.27639,19551.27639,,,"M+H-2H2O, M+Na",,,,,,,
4.56_594.1305n,594.1304664,612.164292,1,4.5615,0.2968,0,100 - 55.3 - 41.4 - 15.6 - 6.4 - 2.7,289711.8004,---,289711.8004,289711.8004,,,"M+H, M+NH4, M+Na",,,,,,,
4.56_653.1900m/z,,653.1900401,1,4.5615,0.181516667,0,100 - 62.9 - 54.5 - 43.6 - 21.8,9596.825092,---,9596.825092,9596.825092,,,,,,,,,,
4.58_371.1017m/z,,371.1017101,1,4.5783,0.247383333,0,100 - 35.8 - 32.6 - 9.15,18013.42527,---,18013.42527,18013.42527,,,,,,,,,,
4.58_445.1203m/z,,445.1202521,1,4.5783,0.1815,0,100 - 42.4 - 31.8,6211.884548,---,6211.884548,6211.884548,,,,,,,,,,
4.59_221.0849m/z,,221.084906,1,4.594783333,0.115633333,0,100 - 19.4,882.8082767,---,882.8082767,882.8082767,,,,,,,,,,
4.59_534.1630n,534.1630285,552.196854,1,4.594783333,0.1815,0,100 - 52.2 - 34.4 - 12.4 - 4.73,22566.87737,---,22566.87737,22566.87737,,,"M+NH4, M+Na",,,,,,,
4.64_817.2590m/z,,817.258965,1,4.644183333,0.297133333,0,100 - 72.3 - 61.4 - 33 - 16.4 - 7.85 - 3.2,96294.2287,---,96294.2287,96294.2287,,,,,,,,,,
4.66_758.1981n,758.1981462,776.2324375,1,4.660666667,0.2642,0,100 - 73.3 - 61.9 - 29.4 - 13 - 8.02 - 3.3,125155.3646,---,125155.3646,125155.3646,,,"M+H-H2O, M+NH4",,,,,,,
4.68_608.2226m/z,,608.2225844,1,4.677133333,0.131766667,0,100 - 50.3 - 34.7,3076.116891,---,3076.116891,3076.116891,,,,,,,,,,
4.71_658.1509m/z,,658.150932,1,4.710066667,0.247383333,0,100 - 62.8 - 47 - 19.9 - 11.9,15143.86153,---,15143.86153,15143.86153,,,,,,,,,,
4.76_598.1837m/z,,598.1837104,1,4.759483333,0.165033333,0,100 - 48.9,2226.365133,---,2226.365133,2226.365133,,,,,,,,,,
4.79_400.3756m/z,,400.375619,1,4.792416667,0.725733333,0,100 - 29.1,23603.07265,---,23603.07265,23603.07265,,,,,,,,,,
4.79_723.2678m/z,,723.2678035,1,4.792416667,0.09915,0,100 - 52.7,1281.513264,---,1281.513264,1281.513264,,,,,,,,,,
4.81_338.3423m/z,,338.3423227,1,4.8089,1.088733333,0,100 - 25.3 - 3.02,49228.8561,---,49228.8561,49228.8561,,,,,,,,,,
4.81_686.1827m/z,,686.1826698,1,4.8089,0.115616667,0,100 - 64.3,1773.161138,---,1773.161138,1773.161138,,,,,,,,,,
4.83_713.1937m/z,,713.1937445,1,4.8257,0.247383333,0,100 - 72.3 - 55.5 - 43.2 - 23.4,17419.19098,---,17419.19098,17419.19098,,,,,,,,,,
