Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
18.33_406.0447n,406.0446926,387.0268515,1,18.33195,0.428566667,0,100 - 22.6,50343.33967,---,50343.33967,50343.33967,,,"M-H2O-H, M-H",,,,,,,
18.33_488.0412n,488.0411928,523.0197392,1,18.33195,4.79955,0,100 - 30.5 - 39.6 - 5.48,861036.9595,---,861036.9595,861036.9595,,,"M+Na-2H, M+Cl",,,,,,,
18.15_568.0205n,568.0204861,588.995154,1,18.15043333,0.92335,0,100 - 32.4,97042.67977,---,97042.67977,97042.67977,,,"M+Na-2H, M+CH3COOH",,,,,,,
18.10_252.0015n,252.0014719,310.9279793,1,18.10101667,0.247383333,0,100,10884.2269,---,10884.2269,10884.2269,,,"M+Na-2H, M+CH3COOH",,,,,,,
15.23_691.9696n,691.96958,690.9623036,1,15.23085,0.82485,0,100 - 33.8,54446.27787,---,54446.27787,54446.27787,,,"M-H, M+Na-2H",,,,,,,
15.20_477.9631n,477.9631164,536.9842033,1,15.1979,0.247383333,0,100 - 30,17130.59405,---,17130.59405,17130.59405,,,"M-H, M+CH3COOH",,,,,,,
4.96_638.1387n,638.1386716,637.1313952,1,4.955366667,1.2864,0,100 - 46.1,64916.98865,---,64916.98865,64916.98865,,,"M-H, M+Cl",,,,,,,
12.39_966.5637n,966.5636948,965.5564184,1,12.39421667,0.428883333,0,100 - 79.5 - 82.4 - 13.2,44967.0963,---,44967.0963,44967.0963,,,"M-H, M+CH3COOH",,,,,,,
12.36_592.5937n,592.5936625,651.6094638,1,12.36126667,0.3136,0,100 - 45,14652.81442,---,14652.81442,14652.81442,,,"M+Cl, M+CH3COOH",,,,,,,
12.43_852.6060n,852.6059613,887.5753626,1,12.42715,1.220533333,0,100 - 76.7 - 60.1 - 32.8 - 14.2 - 4,828734.2508,---,828734.2508,828734.2508,,,"M-H, M+Cl",,,,,,,
18.65_315.9016n,315.9015953,296.8837542,1,18.64521667,0.4783,0,100 - 19.5,43642.456,---,43642.456,43642.456,,,"M-H2O-H, M-H",,,,,,,
18.66_119.9518n,119.9518331,178.9458774,1,18.66168333,0.52805,0,100 - 8.15,34183.70049,---,34183.70049,34183.70049,,,"M-H2O-H, M+CH3COOH",,,,,,,
18.81_273.9134n,273.9133733,294.8880411,1,18.81025,0.39595,0,100 - 16.9,31679.40005,---,31679.40005,31679.40005,,,"M+Na-2H, M+Cl",,,,,,,
18.66_373.8728n,373.8728204,354.8549793,1,18.66168333,0.461833333,0,100 - 29.4,13739.469,---,13739.469,13739.469,,,"M-H2O-H, M-H",,,,,,,
18.65_217.9381n,217.9381123,238.9127801,1,18.64521667,0.511566667,0,100 - 16.9,163162.0032,---,163162.0032,163162.0032,,,"M+Na-2H, 2M-H",,,,,,,
18.63_437.8308n,437.8307655,436.8234891,1,18.62873333,0.313266667,0,100 - 33.1,9929.679457,---,9929.679457,9929.679457,,,"M-H, M+CH3COOH",,,,,,,
18.65_377.8641n,377.8641255,358.8462844,1,18.64521667,0.4783,0,100 - 25.7,30632.42315,---,30632.42315,30632.42315,,,"M-H2O-H, M-H",,,,,,,
12.41_958.5828n,958.5828082,957.5755318,1,12.41068333,0.230983333,0,100 - 59.6,9675.277397,---,9675.277397,9675.277397,,,"M-H, M+Na-2H",,,,,,,
18.65_219.9142n,219.9141935,240.908668,1,18.64521667,0.494766667,0,100 - 14.5 - 15.3 - 0.97,75287.40963,---,75287.40963,75287.40963,,,"M-H, M+Na-2H",,,,,,,
4.79_592.1090n,592.1089996,613.0836674,1,4.79065,1.1546,0,100 - 40.4 - 69.6,80720.7886,---,80720.7886,80720.7886,,,"M+Na-2H, M+Cl",,,,,,,
1.10_100.9343m/z,,100.9342847,1,1.09575,0.065883333,0,100,323.0009836,---,323.0009836,323.0009836,,,,,,,,,,
1.39_234.9220m/z,,234.9219651,1,1.392716667,0.890566667,0,100 - 14,33860.49092,---,33860.49092,33860.49092,,,,,,,,,,
1.44_238.9162m/z,,238.9162066,1,1.442133333,0.97325,0,100,15870.06642,---,15870.06642,15870.06642,,,,,,,,,,
2.89_269.2300m/z,,269.2299568,1,2.893533333,0.049416667,0,100,785.6865616,---,785.6865616,785.6865616,,,,,,,,,,
3.29_171.1390m/z,,171.1390336,1,3.289483333,0.08235,0,100,608.7162209,---,608.7162209,608.7162209,,,,,,,,,,
3.47_283.2661m/z,,283.2660796,1,3.470666667,0.21445,0,100 - 4.53 - 0.758,34340.37733,---,34340.37733,34340.37733,,,,,,,,,,
3.77_297.1553m/z,,297.1552525,1,3.768133333,0.363016667,0,100,2246.306229,---,2246.306229,2246.306229,,,,,,,,,,
4.03_297.1550m/z,,297.1549964,1,4.032016667,0.115633333,0,100,795.4576874,---,795.4576874,795.4576874,,,,,,,,,,
4.28_635.4150m/z,,635.415016,1,4.2794,0.478316667,0,100 - 50.1,10213.68852,---,10213.68852,10213.68852,,,,,,,,,,
4.64_480.9034m/z,,480.9034292,1,4.642083333,0.065883333,0,100,582.9985886,---,582.9985886,582.9985886,,,,,,,,,,
4.81_687.1054m/z,,687.1054084,1,4.807133333,0.725366667,0,100 - 52.2 - 84.6,26548.91911,---,26548.91911,26548.91911,,,,,,,,,,
4.84_565.1004m/z,,565.100413,1,4.840066667,0.313283333,0,100 - 25.5,7271.440948,---,7271.440948,7271.440948,,,,,,,,,,
4.91_625.1097m/z,,625.1096815,1,4.90595,1.220466667,0,100 - 42.7,35213.23725,---,35213.23725,35213.23725,,,,,,,,,,
5.04_579.1179m/z,,579.1178528,1,5.03805,0.330066667,0,100 - 31.2 - 19.5,10740.95137,---,10740.95137,10740.95137,,,,,,,,,,
5.20_651.1466m/z,,651.1465727,1,5.20275,0.5775,0,100 - 38.7,15167.7067,---,15167.7067,15167.7067,,,,,,,,,,
5.24_619.1818m/z,,619.1817748,1,5.236016667,0.263866667,0,100 - 47.4,5553.42055,---,5553.42055,5553.42055,,,,,,,,,,
5.29_281.2508m/z,,281.2508351,1,5.285433333,0.1321,0,100,852.9269962,---,852.9269962,852.9269962,,,,,,,,,,
5.48_138.9341m/z,,138.9341445,1,5.483083333,0.11565,0,100,516.370979,---,516.370979,516.370979,,,,,,,,,,
6.11_171.1394m/z,,171.1393696,1,6.109983333,0.115283333,0,100,825.684124,---,825.684124,825.684124,,,,,,,,,,
6.46_661.3620m/z,,661.3619698,1,6.4562,0.9072,0,100 - 52.7 - 60.3,33298.61892,---,33298.61892,33298.61892,,,,,,,,,,
6.59_625.3849m/z,,625.3848847,1,6.5883,3.447016667,0,100 - 51.7 - 32.4 - 0.735,170572.4382,---,170572.4382,170572.4382,,,,,,,,,,
6.69_571.5013m/z,,571.5012772,1,6.687116667,0.1321,0,100 - 20.2,1639.829629,---,1639.829629,1639.829629,,,,,,,,,,
6.77_607.4288m/z,,607.4287712,1,6.7698,2.6885,0,100 - 49.1,734364.2979,---,734364.2979,734364.2979,,,,,,,,,,
7.00_639.4006m/z,,639.4006235,1,7.000716667,0.709233333,0,100 - 48.3,14933.77439,---,14933.77439,14933.77439,,,,,,,,,,
7.64_480.9045m/z,,480.9045412,1,7.643733333,0.1647,0,100,1460.714468,---,1460.714468,1460.714468,,,,,,,,,,
7.91_222.9864m/z,,222.9863523,1,7.9076,0.08235,0,100,1024.683654,---,1024.683654,1024.683654,,,,,,,,,,
8.11_138.9336m/z,,138.9335674,1,8.105566667,0.049416667,0,100,299.4928026,---,299.4928026,299.4928026,,,,,,,,,,
8.49_157.0370m/z,,157.0370416,1,8.485233333,0.066216667,0,100,391.6652203,---,391.6652203,391.6652203,,,,,,,,,,
8.63_170.9604m/z,,170.9603699,1,8.633466667,0.098833333,0,100,504.4038263,---,504.4038263,504.4038263,,,,,,,,,,
8.93_236.9165m/z,,236.916474,1,8.930433333,0.049416667,0,100,369.1696377,---,369.1696377,369.1696377,,,,,,,,,,
10.00_138.9359m/z,,138.9359246,1,10.00266667,0.495116667,0,100,2324.033029,---,2324.033029,2324.033029,,,,,,,,,,
10.18_480.9042m/z,,480.9041801,1,10.18385,0.132433333,0,100,1446.650706,---,1446.650706,1446.650706,,,,,,,,,,
10.66_102.9574m/z,,102.9573508,1,10.66248333,0.230916667,0,100,915.13517,---,915.13517,915.13517,,,,,,,,,,
11.07_157.0372m/z,,157.0372254,1,11.07491667,0.115283333,0,100,699.6989574,---,699.6989574,699.6989574,,,,,,,,,,
11.19_236.9158m/z,,236.9157901,1,11.1902,0.08235,0,100,536.2354431,---,536.2354431,536.2354431,,,,,,,,,,
11.31_171.1386m/z,,171.1385691,1,11.30583333,0.181516667,0,100,1231.641893,---,1231.641893,1231.641893,,,,,,,,,,
11.67_266.9527m/z,,266.9526871,1,11.66851667,0.08235,0,100,819.1315613,---,819.1315613,819.1315613,,,,,,,,,,
11.68_241.2173m/z,,241.2173411,1,11.68498333,0.148233333,0,100,1288.985039,---,1288.985039,1288.985039,,,,,,,,,,
